VID,"videoInfo.videoError: Descending","Unique count of vid",errors
"40,634",3,1,1
"40,634",4,1,2
"40,786",3,1,1
"40,903",4,1,1
"41,062",4,1,2
"41,072",4,1,2
"41,087",4,1,4
"41,158",4,1,1
"41,202",4,1,3
"41,361",4,1,1
"41,389",4,1,6
"42,058",3,1,1
"42,244",4,1,3
"42,283",4,1,1
"42,324",4,1,12
"42,401",4,1,9
"42,402",4,1,1
"42,476",3,1,1
"42,536",4,1,2
"42,728",4,1,3
"42,735",4,1,1
"42,739",4,1,1
"42,792",4,1,1
"42,809",4,1,2
"43,243",4,1,1
"43,255",3,1,1
"43,260",4,1,1
"43,261",4,1,7
"43,290",4,1,5
"43,404",3,1,1
"43,543",4,1,4
"43,590",4,1,1
"43,693",4,1,1
"43,756",4,1,3
"43,887",4,1,13
"43,912",3,1,5
"43,912",4,1,6
"43,954",4,1,3
"43,965",4,1,1
"43,976",4,1,1
"44,001",3,1,1
"44,101",3,1,3
"44,101",4,1,20
"44,598",3,1,1
"44,598",4,1,1
"44,740",3,1,2
"44,751",3,1,1
"44,765",4,1,2
"44,867",4,1,12
"44,885",4,1,14
"45,250",4,1,5
"45,495",4,1,1
"45,614",4,1,3
"45,714",4,1,1
"45,764",4,1,1
"45,882",4,1,1
"45,957",4,1,1
"45,961",4,1,1
"46,086",4,1,1
"46,125",4,1,1
"46,610",4,1,1
"46,645",4,1,1
"46,676",4,1,91
"46,750",4,1,7
"46,754",4,1,2
"46,789",4,1,9
"46,796",3,1,1
"46,796",4,1,1
"46,811",3,1,1
"46,811",4,1,1
"46,860",4,1,1
"46,916",4,1,8
"46,937",3,1,1
"46,998",4,1,9
"47,171",3,1,3
"47,251",4,1,7
"47,646",4,1,13
"47,692",3,1,1
"47,782",4,1,27
"47,785",4,1,8
"47,823",4,1,64
"47,836",4,1,5
"47,838",4,1,1
"47,845",4,1,2
"47,855",4,1,1
"47,856",4,1,4
"47,968",4,1,1
"48,082",4,1,32
"48,197",4,1,1
"48,267",3,1,1
"48,468",4,1,1
"48,541",4,1,6
"48,796",3,1,2
"48,796",4,1,3
"48,801",4,1,13
"48,886",4,1,97
"49,066",3,1,1
"49,187",4,1,17
"49,264",3,1,1
"49,283",4,1,168
"49,402",4,1,1
"49,413",4,1,1
"49,548",3,1,1
"49,568",4,1,1
"49,672",3,1,1
"49,681",4,1,1
"49,849",4,1,2
"49,913",4,1,7
"50,261",4,1,2
"50,270",4,1,4
"50,314",3,1,1
"50,462",3,1,1
"50,535",4,1,1
"50,765",4,1,2
"50,773",3,1,1
"50,938",4,1,38
"51,321",4,1,4
"51,364",4,1,11
"51,370",4,1,1
"51,544",4,1,1
"51,801",4,1,1
"51,842",4,1,1
"51,902",3,1,1
"51,902",4,1,1
"51,942",4,1,3
"52,083",4,1,1
"52,217",3,1,2
"52,217",4,1,28
"52,218",4,1,7
"52,350",4,1,4
"52,380",4,1,1
"52,517",4,1,3
"52,668",4,1,5
"52,697",4,1,1
"52,790",4,1,2
"52,818",4,1,1
